address,yearbuilt,numunits,stories,longitude,latitude,grandcentralwalkingdist,centralparkwalkingdist,closest_pre,closest_post,zipcode,group
1 east 62nd street,1910,12,6,-73.971031,40.76598,1.0097307,0.087613553,0.29390931,0.29390931,10065,Madison Ave
1 east 66th street,1949,106,18,-73.969696,40.768723,1.2116768,0.072079234,0.346726,0.346726,10065,Madison Ave
1 east end avenue,1929,33,14,-73.9478,40.77047,2.4767916,0.98673993,0.76615256,0.61391628,10075,York Ave
1 gracie square,1929,22,14,-73.945511,40.773418,2.7004859,1.0289932,0.75869614,0.46540818,10028,York Ave
10 east 68th street,1920,5,6,-73.96814,40.76947,1.2899698,0.10811885,0.22928654,0.22928654,10065,Madison Ave
10 east 70th street,1962,46,15,-73.967117,40.77066,1.3757192,0.11308984,0.31503597,0.31503597,10021,Madison Ave
10 east 81st street,1920,8,5,-73.962082,40.777901,1.9567027,0.14415847,0.43744642,0.43744642,10028,Madison Ave
10 east 85th street,1925,36,9,-73.960167,40.78043,2.1580274,0.065865509,0.28086048,0.28086048,10028,Madison Ave
10 east 95th street,1920,10,5,-73.955521,40.786781,2.6582325,0.11433259,0.27899635,0.27899635,10128,Madison Ave
10 east end avenue,1957,198,20,-73.948189,40.771091,2.4830055,0.99295366,0.77174497,0.60770255,10075,York Ave
10 gracie square,1930,43,15,-73.944847,40.77314,2.6600966,1.0693824,0.79908532,0.50579739,10028,York Ave
1000 park avenue,1916,66,13,-73.958252,40.77916,2.0567439,0.241714,0.17398436,0.17398436,10028,Madison Ave
1001 fifth avenue,1978,68,23,-73.962303,40.778648,2.0343742,0.1298669,0.49399132,0.49399132,10028,Madison Ave
1001 park avenue,1928,31,14,-73.957787,40.77895,2.0362384,0.25538421,0.16466378,0.16466378,10028,Lexington Ave
1003 lexington avenue,1924,15,15,-73.961853,40.77058,1.4614687,0.46292269,0.23052928,0.23052928,10021,Lexington Ave
1010 fifth avenue,1925,70,14,-73.961967,40.778919,2.0157332,0.16528516,0.43806779,0.43806779,10028,Madison Ave
1016 fifth avenue,1929,56,15,-73.961456,40.779308,2.0934048,0.13048828,0.43558228,0.43558228,10028,Madison Ave
1020 fifth avenue,1925,14,14,-73.961533,40.77956,2.1126673,0.11060435,0.41569835,0.41569835,10028,Madison Ave
1020 park avenue,1962,52,21,-73.957718,40.7799,2.1039681,0.22058733,0.12676004,0.12676004,10028,Madison Ave
1021 park avenue,1929,28,14,-73.957253,40.779411,2.0815988,0.22742242,0.11930356,0.11930356,10028,Lexington Ave
1025 fifth avenue,1955,160,13,-73.961502,40.779789,2.1263375,0.096934147,0.40202817,0.40202817,10028,Madison Ave
1025 park avenue,1924,10,5,-73.957283,40.77964,2.0921619,0.23798576,0.1093616,0.1093616,10028,Lexington Ave
103 east 75th street,1920,26,10,-73.961647,40.77285,1.5987921,0.30385128,0.16466378,0.16466378,10021,Lexington Ave
103 east 84th street,1917,31,9,-73.957581,40.778728,2.05053,0.2963948,0.15782867,0.15782867,10028,Lexington Ave
1035 fifth avenue,1928,81,15,-73.960907,40.78056,2.1897175,0.0341755,0.33864814,0.33864814,10028,Madison Ave
1035 park avenue,1926,29,15,-73.957138,40.77985,2.1095605,0.25538421,0.091341794,0.091341794,10028,Lexington Ave
1036 park avenue,1958,75,20,-73.957603,40.780071,2.1275802,0.24419948,0.10314787,0.10314787,10028,Madison Ave
104 east 98th street,1910,,,-73.951118,40.787613,2.7545455,0.29577342,0.18081947,0.18081947,10029,Lexington Ave
1040 fifth avenue,1930,28,17,-73.96048,40.78093,2.2214077,0.039767854,0.30695814,0.30695814,10028,Madison Ave
1040 park avenue,1925,88,14,-73.957253,40.780529,2.1642413,0.24792773,0.10563336,0.10563336,10028,Madison Ave
1045 fifth avenue,1967,14,15,-73.96048,40.781151,2.2344563,0.052816682,0.29390931,0.29390931,10028,Madison Ave
1045 park avenue,1923,38,15,-73.95681,40.780312,2.1424932,0.25538421,0.090099044,0.090099044,10028,Lexington Ave
1049 fifth avenue,1928,66,22,-73.959923,40.781151,2.2245145,0.075807475,0.23860712,0.23860712,10028,Madison Ave
1049 park avenue,1924,36,13,-73.956627,40.78054,2.1617558,0.27464676,0.10998297,0.10998297,10028,Lexington Ave
105 east 100 street,1910,,,-73.950249,40.788963,2.8477511,0.32870618,0.2323934,0.2323934,10029,Lexington Ave
105 east 75th street,1920,26,,-73.962029,40.772972,1.5776653,0.28210321,0.18579045,0.18579045,10021,Lexington Ave
1050 fifth avenue,1960,90,20,-73.960136,40.781609,2.2748456,0.060273156,0.29080245,0.29080245,10028,Madison Ave
1050 park avenue,1923,60,14,-73.957108,40.780731,2.1866107,0.27029714,0.12800278,0.12800278,10028,Madison Ave
1055 park avenue,2008,6,12,-73.956528,40.780651,2.1716976,0.28521007,0.11992494,0.11992494,10028,Lexington Ave
1056 fifth avenue,1951,77,19,-73.959892,40.78196,2.2897584,0.075807475,0.30571538,0.30571538,10028,Madison Ave
106 east 85th street,1916,20,8,-73.957108,40.77914,2.1058321,0.25165597,0.1025265,0.1025265,10028,Lexington Ave
1060 fifth avenue,1928,44,14,-73.959473,40.782131,2.3239341,0.10998297,0.33926952,0.33926952,10128,Madison Ave
1060 park avenue,1924,88,14,-73.956886,40.781052,2.2114656,0.29515204,0.15161495,0.15161495,10128,Madison Ave
1065 lexington avenue,1925,27,11,-73.960472,40.772572,1.613705,0.34051225,0.090720423,0.090720423,10021,Lexington Ave
1065 park avenue,1973,106,30,-73.956322,40.78091,2.1915817,0.30447266,0.13856612,0.13856612,10128,Lexington Ave
1067 fifth avenue,1917,12,13,-73.959488,40.782509,2.3413324,0.12738141,0.35666797,0.35666797,10128,Madison Ave
1070 park avenue,1928,72,15,-73.956627,40.781391,2.2276213,0.31441459,0.16839202,0.16839202,10128,Madison Ave
1075 park avenue,1922,56,14,-73.956161,40.7812,2.2102227,0.32684207,0.15782867,0.15782867,10128,Lexington Ave
108 east 66th street,1928,18,10,-73.966148,40.766991,1.1327626,0.26532617,0.17274162,0.17274162,10065,Lexington Ave
108 east 82nd street,1916,40,9,-73.958458,40.777222,1.9598097,0.38338697,0.24917047,0.24917047,10028,Lexington Ave
108 east 86th street,1924,29,14,-73.956657,40.779781,2.1598916,0.273404,0.0410106,0.0410106,10028,Lexington Ave
108 east 91st street,1928,38,9,-73.95433,40.783031,2.4065766,0.28583145,0.2963948,0.2963948,10128,Lexington Ave
1080 fifth avenue,1961,45,21,-73.958733,40.78355,2.4202468,0.046602957,0.43558228,0.43558228,10128,Madison Ave
1080 madison avenue,1981,29,15,-73.961121,40.77795,1.92377,0.21375223,0.40513504,0.40513504,10028,Madison Ave
1082 madison avenue,1910,13,5,-73.96106,40.778172,1.928741,0.21810183,0.40948462,0.40948462,10028,Madison Ave
1082 park avenue,1915,8,6,-73.95636,40.781738,2.2605541,0.28148186,0.20132476,0.20132476,,Madison Ave
1088 park avenue,1925,87,15,-73.956207,40.78196,2.2816806,0.26097655,0.22245143,0.22245143,10128,Madison Ave
109 east 100th street,1910,10,5,-73.950043,40.788952,2.8570719,0.33740538,0.22369419,0.22369419,,Lexington Ave
1095 park avenue,1930,68,18,-73.955688,40.78183,2.2661464,0.27091852,0.21313085,0.21313085,10128,Lexington Ave
11 east 68th street,1913,26,13,-73.967613,40.769451,1.2663577,0.13110964,0.20567438,0.20567438,10065,Madison Ave
11 east 73rd street,1903,16,5,-73.965599,40.772861,1.5459753,0.21934457,0.42750445,0.42750445,10021,Madison Ave
11 east 79th street,1928,5,14,-73.962883,40.776939,1.8603899,0.060273156,0.34051225,0.34051225,10075,Madison Ave
11 east 86th street,1960,54,20,-73.959282,40.781231,2.1953099,0.10501199,0.20940261,0.20940261,10028,Madison Ave
11 east 87th street,1954,85,12,-73.958839,40.78186,2.2499907,0.15845005,0.26284066,0.26284066,10128,Madison Ave
11 east 92nd street,1925,8,5,-73.956718,40.785091,2.5084817,0.16031417,0.42750445,0.42750445,10128,Madison Ave
11-15 east 70th street,1900,9,6,-73.966827,40.770771,1.3750979,0.11308984,0.31379324,0.31379324,10021,Madison Ave
110 east 71st street,1982,21,23,-73.963814,40.7701,1.3782047,0.31938559,0.22555831,0.22555831,10021,Lexington Ave
110 east 87th street,1939,64,13,-73.956108,40.780491,2.2151937,0.32994893,0.091963165,0.091963165,10028,Lexington Ave
110 east 97th street,2005,9,6,-73.951378,40.786678,2.7234766,0.26532617,0.11122572,0.11122572,10029,Lexington Ave
1100 park avenue,1930,67,18,-73.955887,40.782398,2.307157,0.2348789,0.24792773,0.24792773,10128,Madison Ave
1105 park avenue,1923,61,14,-73.955429,40.7822,2.2891371,0.24854909,0.23550026,0.23550026,10128,Lexington Ave
1107 fifth avenue,1925,26,13,-73.957588,40.785099,2.5420358,0.093827285,0.49399132,0.49399132,10128,Madison Ave
111 east 67th street,1931,88,11,-73.965111,40.767879,1.252066,0.30198714,0.035418246,0.035418246,10065,Lexington Ave
111 east 75th street,1925,36,10,-73.961411,40.772758,1.6124623,0.31752148,0.15099357,0.15099357,10021,Lexington Ave
111 east 85th street,1971,160,31,-73.956787,40.7794,2.1132886,0.25911242,0.095070027,0.095070027,10028,Lexington Ave
111 east 88th street,1929,58,11,-73.955231,40.781158,2.2841661,0.36163893,0.12116768,0.12116768,10128,Lexington Ave
1110 park avenue,2015,9,16,-73.955727,40.782619,2.3282835,0.21437359,0.26905438,0.26905438,10128,Madison Ave
1111 park avenue,1925,85,14,-73.955254,40.782452,2.3158562,0.22120869,0.26221928,0.26221928,10128,Lexington Ave
1112 park avenue,1927,43,15,-73.95591,40.782791,2.336983,0.20567438,0.27713224,0.27713224,10128,Madison Ave
1115 fifth avenue,1926,40,14,-73.956902,40.78574,2.5861533,0.13856612,0.44863111,0.44863111,10128,Madison Ave
112 east 71st street,1920,1,6,-73.963722,40.770061,1.3906322,0.33181304,0.21313085,0.21313085,10021,Lexington Ave
112 east 74th street,1917,21,9,-73.962242,40.77206,1.5478395,0.35231835,0.21623771,0.21623771,10021,Lexington Ave
112 east 83rd street,1929,25,10,-73.957916,40.777809,2.013869,0.36163893,0.19324692,0.19324692,10028,Lexington Ave
112 east 98th street,1910,15,5,-73.95108,40.787529,2.7601378,0.30136576,0.17522711,0.17522711,10029,Lexington Ave
1120 fifth avenue,1925,45,14,-73.956818,40.78616,2.6259212,0.14540122,0.40948462,0.40948462,10128,Madison Ave
1120 park avenue,1929,70,21,-73.955711,40.783001,2.3562455,0.205053,0.29701617,0.29701617,10128,Madison Ave
1123 park avenue,1926,65,,-73.955025,40.782909,2.3463035,0.22617967,0.29266655,0.29266655,10128,Lexington Ave
1125 fifth avenue,1925,18,14,-73.95665,40.7864,2.648912,0.12241043,0.38649383,0.38649383,10128,Madison Ave
1125 park avenue,1926,65,14,-73.95488,40.782951,2.3512745,0.23115066,0.29763755,0.29763755,10128,Lexington Ave
1130 park avenue,1927,44,16,-73.95533,40.783169,2.3842072,0.23301478,0.32497793,0.32497793,10128,Madison Ave
1133 fifth avenue,1928,17,14,-73.956383,40.78677,2.6750097,0.096312776,0.36039618,0.36039618,10128,Madison Ave
1133 park avenue,1924,32,16,-73.954643,40.78315,2.3692942,0.24854909,0.31565735,0.31565735,10128,Lexington Ave
1135 park ave 9w,1924,32,,-73.954857,40.7831,2.3624592,0.241714,0.30882224,0.30882224,10128,Lexington Ave
