saleprice,address,sqft,date,bathrooms,bedrooms,studio,floor
425320.3431,105 east 100 street,,2003-02-21,1,1,0,1
447494.9231,105 east 100 street,,2017-03-24,1,1,0,5
1144980.213,109 east 100th street,2219,2009-10-19,3,4,0,1
666998.2063,109 east 100th street,979,2006-04-05,,1,0,2
611884.5878,109 east 100th street,979,2009-07-29,1,2,0,4
719276.1837,109 east 100th street,979,2018-07-02,1,2,0,4
535505.4889,158 east 100th street,,2019-03-17,1,1,0,2
496504.1903,158 east 100th street,614,2008-04-22,1,1,0,2
538631.5475,158 east 100th street,614,2019-01-14,1,1,0,2
435775.8566,158 east 100th street,,2008-07-25,1,1,0,2
532204.8089,158 east 100th street,,2013-07-03,1,1,0,2
487182.3177,158 east 100th street,,2018-08-03,1,1,0,2
500535.9864,158 east 100th street,615,2007-04-19,1,1,0,3
516381.3787,158 east 100th street,615,2015-02-17,1,1,0,3
539394.2116,158 east 100th street,615,2007-07-03,1,1,0,4
452850.2336,158 east 100th street,615,2012-08-06,1,1,0,4
498494.3331,158 east 100th street,615,2007-02-12,1,1,0,4
524127.1308,158 east 100th street,615,2007-08-13,1,1,0,5
514282.7534,158 east 100th street,615,2007-03-06,1,1,0,5
430660.8188,158 east 100th street,615,2009-09-09,1,1,0,5
591455.4252,158 east 100th street,625,2007-11-15,1,1,0,6
553493.0013,158 east 100th street,625,2013-07-09,1,1,0,6
682096.6549,158 east 100th street,625,2015-07-15,1,1,0,6
604203.3852,158 east 100th street,615,2007-07-09,1,1,0,6
720199.4476,158 east 100th street,615,2015-09-03,1,1,0,6
667270.2284,158 east 100th street,,2003-03-26,,,0,0
607021.605,119 east 101 street,,2012-05-24,1,2,0,1
420943.8386,119 east 101 street,,2012-05-31,1,2,0,1
627359.2307,119 east 101 street,,2012-04-18,1,2,0,2
1116753.487,119 east 101 street,,2017-06-22,1,2,0,2
475927.6922,119 east 101 street,,2012-04-18,1,2,0,2
640132.4458,119 east 101 street,,2012-05-16,1,2,0,3
453191.3714,119 east 101 street,,2012-06-14,1,2,0,3
557997.32,119 east 101 street,,2015-06-12,1,2,0,3
634603.3021,119 east 101 street,,2012-06-29,1,2,0,4
446277.0228,119 east 101 street,,2012-10-19,1,2,0,4
509446.7702,119 east 101st street,,2015-03-05,1,2,0,4
629179.3422,119 east 101 street,,2012-06-14,1,2,0,5
450188.6673,119 east 101 street,,2012-06-26,1,2,0,5
716983.0888,194 east 101 street,,2016-11-28,1,1,0,2
722002.2561,194 east 101 street,,2017-01-31,1,1,0,2
600050.0105,194 east 101 street,,2017-03-31,1,1,0,3
757943.4933,194 east 101 street,,2016-09-27,1,1,0,3
610680.7497,194 east 101 street,,2016-10-17,1,1,0,3
772945.7762,194 east 101 street,,2017-03-27,1,1,0,4
759209.4749,194 east 101 street,,2016-09-29,1,1,0,5
771312.9172,194 east 101 street,,2016-09-20,1,1,0,6
807307.52,194 east 101 street,,2016-09-06,1,1,0,7
767762.9625,194 east 101 street,,2017-01-06,1,1,0,7
779527.4131,194 east 101 street,,2016-10-13,1,1,0,7
802758.5967,194 east 101 street,,2017-02-07,1,1,0,8
804956.5294,194 east 101 street,,2017-02-15,1,1,0,8
821705.3611,194 east 101 street,,2016-09-15,1,1,0,9
798371.6241,194 east 101 street,,2017-03-29,1,1,0,9
791373.2844,194 east 101 street,,2016-12-07,1,1,0,9
1879221.761,205 east 59th street,1122,2005-09-29,3,3,0,10
1535555.735,205 east 59th street,1122,2011-06-29,3,3,0,10
1824204.115,205 east 59th street,1122,2015-12-03,3,3,0,10
1804941.244,205 east 59th street,1116,2005-09-02,2,2,0,10
1978322.223,205 east 59th street,1116,2014-08-28,2,2,0,10
2095077.691,205 east 59th street,1314,2005-09-21,2,2,0,10
1966445.901,205 east 59th street,1314,2008-06-26,2,2,0,10
1896037.927,205 east 59th street,1314,2012-03-15,2,2,0,10
2246701.106,205 east 59th street,1314,2014-06-24,2,2,0,10
2922350.62,205 east 59th street,1552,2005-10-25,3,3,0,11
2957250.159,205 east 59th street,1552,2013-12-16,3,3,0,11
1777642.206,205 east 59th street,1122,2005-09-08,1,1,0,12
1621602.344,205 east 59th street,1122,2009-03-12,1,1,0,12
1672333.978,205 east 59th street,1122,2012-11-27,1,1,0,12
1835588.798,205 east 59th street,1113,2006-02-24,2,2,0,12
1472148.586,205 east 59th street,1113,2011-05-31,2,2,0,12
2088729.28,205 east 59th street,1314,2005-09-08,2,2,0,12
2160371.074,205 east 59th street,1314,2015-02-18,2,2,0,12
2536884.074,205 east 59th street,1368,2017-01-30,2,2,0,13
2008036.757,205 east 59th street,1122,2005-09-15,1,1,0,14
1975009.903,205 east 59th street,1113,2006-05-31,2,2,0,14
1659930.078,205 east 59th street,1113,2017-09-12,2,2,0,14
2312521.035,205 east 59th street,1314,2005-09-16,2,2,0,14
