DATE,CPIAUCSL,CPIAUCNS
1970-01-01,37.9,37.8
1970-02-01,38.1,38.0
1970-03-01,38.3,38.2
1970-04-01,38.5,38.5
1970-05-01,38.6,38.6
1970-06-01,38.8,38.8
1970-07-01,38.9,39.0
1970-08-01,39.0,39.0
1970-09-01,39.2,39.2
1970-10-01,39.4,39.4
1970-11-01,39.6,39.6
1970-12-01,39.8,39.8
1971-01-01,39.9,39.8
1971-02-01,39.9,39.9
1971-03-01,40.0,40.0
1971-04-01,40.1,40.1
1971-05-01,40.3,40.3
1971-06-01,40.5,40.6
1971-07-01,40.6,40.7
1971-08-01,40.7,40.8
1971-09-01,40.8,40.8
1971-10-01,40.9,40.9
1971-11-01,41.0,40.9
1971-12-01,41.1,41.1
1972-01-01,41.2,41.1
1972-02-01,41.4,41.3
1972-03-01,41.4,41.4
1972-04-01,41.5,41.5
1972-05-01,41.6,41.6
1972-06-01,41.7,41.7
1972-07-01,41.8,41.9
1972-08-01,41.9,42.0
1972-09-01,42.1,42.1
1972-10-01,42.2,42.3
1972-11-01,42.4,42.4
1972-12-01,42.5,42.5
1973-01-01,42.7,42.6
1973-02-01,43.0,42.9
1973-03-01,43.4,43.3
1973-04-01,43.7,43.6
1973-05-01,43.9,43.9
1973-06-01,44.2,44.2
1973-07-01,44.2,44.3
1973-08-01,45.0,45.1
1973-09-01,45.2,45.2
1973-10-01,45.6,45.6
1973-11-01,45.9,45.9
1973-12-01,46.3,46.2
1974-01-01,46.8,46.6
1974-02-01,47.3,47.2
1974-03-01,47.8,47.8
1974-04-01,48.1,48.0
1974-05-01,48.6,48.6
1974-06-01,49.0,49.0
1974-07-01,49.3,49.4
1974-08-01,49.9,50.0
1974-09-01,50.6,50.6
1974-10-01,51.0,51.1
1974-11-01,51.5,51.5
1974-12-01,51.9,51.9
1975-01-01,52.3,52.1
1975-02-01,52.6,52.5
1975-03-01,52.8,52.7
1975-04-01,53.0,52.9
1975-05-01,53.1,53.2
1975-06-01,53.5,53.6
1975-07-01,54.0,54.2
1975-08-01,54.2,54.3
1975-09-01,54.6,54.6
1975-10-01,54.9,54.9
1975-11-01,55.3,55.3
1975-12-01,55.6,55.5
1976-01-01,55.8,55.6
1976-02-01,55.9,55.8
1976-03-01,56.0,55.9
1976-04-01,56.1,56.1
1976-05-01,56.4,56.5
1976-06-01,56.7,56.8
1976-07-01,57.0,57.1
1976-08-01,57.3,57.4
1976-09-01,57.6,57.6
1976-10-01,57.9,57.9
1976-11-01,58.1,58.0
1976-12-01,58.4,58.2
1977-01-01,58.7,58.5
1977-02-01,59.3,59.1
1977-03-01,59.6,59.5
1977-04-01,60.0,60.0
1977-05-01,60.2,60.3
1977-06-01,60.5,60.7
1977-07-01,60.8,61.0
1977-08-01,61.1,61.2
1977-09-01,61.3,61.4
1977-10-01,61.6,61.6
1977-11-01,62.0,61.9
1977-12-01,62.3,62.1
1978-01-01,62.7,62.5
1978-02-01,63.0,62.9
1978-03-01,63.4,63.4
1978-04-01,63.9,63.9
1978-05-01,64.5,64.5
1978-06-01,65.0,65.2
1978-07-01,65.5,65.7
1978-08-01,65.9,66.0
1978-09-01,66.5,66.5
1978-10-01,67.1,67.1
1978-11-01,67.5,67.4
1978-12-01,67.9,67.7
1979-01-01,68.5,68.3
1979-02-01,69.2,69.1
1979-03-01,69.9,69.8
1979-04-01,70.6,70.6
1979-05-01,71.4,71.5
1979-06-01,72.2,72.3
1979-07-01,73.0,73.1
1979-08-01,73.7,73.8
1979-09-01,74.4,74.6
1979-10-01,75.2,75.2
1979-11-01,76.0,75.9
1979-12-01,76.9,76.7
1980-01-01,78.0,77.8
1980-02-01,79.0,78.9
1980-03-01,80.1,80.1
1980-04-01,80.9,81.0
1980-05-01,81.7,81.8
1980-06-01,82.5,82.7
1980-07-01,82.6,82.7
1980-08-01,83.2,83.3
1980-09-01,83.9,84.0
1980-10-01,84.7,84.8
1980-11-01,85.6,85.5
1980-12-01,86.4,86.3
1981-01-01,87.2,87.0
1981-02-01,88.0,87.9
1981-03-01,88.6,88.5
1981-04-01,89.1,89.1
1981-05-01,89.7,89.8
1981-06-01,90.5,90.6
1981-07-01,91.5,91.6
1981-08-01,92.2,92.3
1981-09-01,93.1,93.2
1981-10-01,93.4,93.4
1981-11-01,93.8,93.7
1981-12-01,94.1,94.0
1982-01-01,94.4,94.3
1982-02-01,94.7,94.6
1982-03-01,94.7,94.5
1982-04-01,95.0,94.9
1982-05-01,95.9,95.8
1982-06-01,97.0,97.0
1982-07-01,97.5,97.5
1982-08-01,97.7,97.7
1982-09-01,97.7,97.9
1982-10-01,98.1,98.2
1982-11-01,98.0,98.0
1982-12-01,97.7,97.6
1983-01-01,97.9,97.8
1983-02-01,98.0,97.9
1983-03-01,98.1,97.9
1983-04-01,98.8,98.6
1983-05-01,99.2,99.2
1983-06-01,99.4,99.5
1983-07-01,99.8,99.9
1983-08-01,100.1,100.2
1983-09-01,100.4,100.7
1983-10-01,100.8,101.0
1983-11-01,101.1,101.2
1983-12-01,101.4,101.3
